iter	RMSE
0	91.08270741
1	86.12819019
2	81.70029195
3	78.80122509
4	75.48521617
5	71.80100791
6	68.32761966
7	65.15529896
8	62.47371604
9	59.6531265
10	56.78442664
11	54.17069492
12	52.032012
13	50.48229259
14	48.49605246
15	46.15108077
16	45.05510705
17	43.59214846
18	41.79270236
19	40.43217201
20	38.82508032
21	37.55787692
22	35.76566836
23	34.25831804
24	33.32427077
25	32.00620497
26	30.52595517
27	29.32431119
28	27.9374792
29	26.997874
30	25.96020888
31	25.17111261
32	24.30878072
33	23.56477794
34	22.84743244
35	21.91923413
36	20.97545602
37	20.1405925
38	19.72436677
39	18.92830905
40	18.30356285
41	17.61738003
42	17.08906455
43	16.54808647
44	16.27190145
45	15.81778608
46	15.30629696
47	14.8207806
48	14.19383166
49	13.72379849
50	13.45882993
51	13.24692156
52	13.00827282
53	12.76692212
54	12.31129015
55	12.0821336
56	11.75361665
57	11.35614886
58	11.11319349
59	10.71816862
60	10.51014006
61	10.35147364
62	10.17860147
63	10.00250558
64	9.872637024
65	9.752594783
66	9.555328202
67	9.280753437
68	8.948847367
69	8.806071719
70	8.528687376
71	8.238521601
72	8.106668959
73	8.019203699
74	7.844026269
75	7.751315378
76	7.673566646
77	7.578848045
78	7.481992427
79	7.232865242
80	7.135752595
81	6.912319541
82	6.826753649
83	6.57861393
84	6.501213052
85	6.435773355
86	6.369817061
87	6.303184686
88	6.240370908
89	6.18065712
90	5.976577423
91	5.918085875
92	5.739369255
93	5.686650415
94	5.485032846
95	5.430859497
96	5.382589723
97	5.336637126
98	5.292486506
99	5.250358895
