iter	Passed	Remaining
0	11	1171
1	21	1061
2	30	977
3	39	953
4	47	910
5	56	890
6	64	857
7	74	851
8	81	825
9	89	801
10	95	771
11	103	757
12	109	729
13	115	708
14	121	687
15	126	666
16	133	653
17	139	636
18	145	618
19	151	606
20	157	590
21	163	579
22	169	568
23	175	555
24	181	544
25	187	534
26	193	521
27	199	514
28	205	502
29	211	493
30	216	482
31	222	472
32	228	463
33	234	454
34	239	444
35	245	436
36	250	426
37	255	417
38	262	410
39	267	401
40	272	392
41	278	384
42	284	376
43	289	368
44	295	361
45	300	352
46	304	343
47	310	336
48	315	327
49	319	319
50	324	312
51	329	304
52	334	296
53	339	288
54	344	281
55	348	274
56	353	266
57	359	260
58	363	252
59	368	245
60	373	238
61	377	231
62	382	224
63	387	217
64	393	211
65	398	205
66	405	199
67	410	193
68	415	186
69	422	181
70	428	174
71	433	168
72	438	162
73	443	155
74	448	149
75	453	143
76	456	136
77	461	130
78	467	124
79	472	118
80	477	112
81	483	106
82	489	100
83	494	94
84	500	88
85	505	82
86	509	76
87	515	70
88	521	64
89	526	58
90	531	52
91	536	46
92	542	40
93	549	35
94	554	29
95	559	23
96	564	17
97	569	11
98	575	5
99	581	0
